Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-02 00:00:00-05:00,432.0,435.0,403.0,405.0,2407,0.0,0.0
2020-01-03 00:00:00-05:00,406.0,410.0,382.0,389.0,4257,0.0,0.0
2020-01-06 00:00:00-05:00,390.0,451.0,387.0,435.0,4999,0.0,0.0
2020-01-07 00:00:00-05:00,432.0,432.0,409.0,412.0,2798,0.0,0.0
2020-01-08 00:00:00-05:00,398.0,416.0,389.0,390.0,3877,0.0,0.0
2020-01-09 00:00:00-05:00,390.0,394.0,381.5,383.0,2368,0.0,0.0
2020-01-10 00:00:00-05:00,383.0,384.0,369.0,372.0,2266,0.0,0.0
2020-01-13 00:00:00-05:00,373.0,384.0,362.0,372.0,2493,0.0,0.0
2020-01-14 00:00:00-05:00,370.0,385.0,366.0,376.0,2287,0.0,0.0
2020-01-15 00:00:00-05:00,376.0,388.0,368.0,373.0,2536,0.0,0.0
2020-01-16 00:00:00-05:00,376.0,403.5,376.0,391.0,4620,0.0,0.0
2020-01-17 00:00:00-05:00,401.0,403.0,386.0,392.0,2245,0.0,0.0
2020-01-21 00:00:00-05:00,396.0,396.0,382.0,386.0,2137,0.0,0.0
2020-01-22 00:00:00-05:00,384.0,401.0,378.0,378.0,3489,0.0,0.0
2020-01-23 00:00:00-05:00,379.0,391.0,360.0,385.0,3687,0.0,0.0
2020-01-24 00:00:00-05:00,386.0,386.0,365.0,369.0,3155,0.0,0.0
2020-01-27 00:00:00-05:00,361.0,368.0,350.0,358.0,4040,0.0,0.0
2020-01-28 00:00:00-05:00,361.0,367.0,356.0,358.0,1366,0.0,0.0
2020-01-29 00:00:00-05:00,358.0,359.20001220703125,328.0,328.0,4412,0.0,0.0
2020-01-30 00:00:00-05:00,326.0,342.79998779296875,307.0,339.0,4902,0.0,0.0
2020-01-31 00:00:00-05:00,339.0,359.0,336.0,344.0,4210,0.0,0.0
2020-02-03 00:00:00-05:00,344.0,349.0,333.0,335.0,2713,0.0,0.0
2020-02-04 00:00:00-05:00,342.0,345.0,326.0,329.0,2245,0.0,0.0
2020-02-05 00:00:00-05:00,331.0,345.0,328.0,343.0,2515,0.0,0.0
2020-02-06 00:00:00-05:00,343.0,397.0,339.0,359.0,5603,0.0,0.0
2020-02-07 00:00:00-05:00,358.0,358.0,330.0,339.0,2671,0.0,0.0
2020-02-10 00:00:00-05:00,343.0,400.0,336.0,373.0,9473,0.0,0.0
2020-02-11 00:00:00-05:00,379.0,405.0,368.0,394.0,6295,0.0,0.0
2020-02-12 00:00:00-05:00,395.0,399.0,358.0,363.0,5690,0.0,0.0
2020-02-13 00:00:00-05:00,364.0,373.0,353.0,371.0,2569,0.0,0.0
2020-02-14 00:00:00-05:00,372.0,379.0,368.6000061035156,379.0,2249,0.0,0.0
2020-02-18 00:00:00-05:00,376.0,378.5,356.0,375.0,3545,0.0,0.0
2020-02-19 00:00:00-05:00,375.0,382.0,366.0,377.0,1770,0.0,0.0
2020-02-20 00:00:00-05:00,375.0,388.0,372.0,385.0,1801,0.0,0.0
2020-02-21 00:00:00-05:00,385.0,385.0,360.0,368.0,4016,0.0,0.0
2020-02-24 00:00:00-05:00,356.0,382.0,351.0,376.0,5718,0.0,0.0
2020-02-25 00:00:00-05:00,375.0,383.0,372.0,374.0,5069,0.0,0.0
2020-02-26 00:00:00-05:00,375.0,379.0,346.0,350.0,4259,0.0,0.0
2020-02-27 00:00:00-05:00,338.0,353.0,322.0,329.0,4016,0.0,0.0
2020-02-28 00:00:00-05:00,324.0,400.0,321.0,331.0,9904,0.0,0.0
2020-03-02 00:00:00-05:00,331.0,339.0,305.0,339.0,7757,0.0,0.0
